week,year,Pos,Team,H.A,Oppt,FDP,DKSalary,player
17,2016,WR,SF,h,SEA,2.8,0,DeAndre Smelter
17,2016,WR,WAS,h,NYG,2.6,5900,Jamison Crowder
17,2016,WR,SEA,a,SF,2.6,4500,Tanner McEvoy
17,2016,WR,LA,h,ARI,2.5,4500,Brian Quick
17,2016,WR,CAR,a,TB,2.1,4500,Damier Byrd
17,2016,WR,LA,h,ARI,2,4500,Mike Thomas
17,2016,WR,WAS,h,NYG,2,4500,Maurice Harris
17,2016,WR,PHI,h,DAL,2,4800,Dorial Green-Beckham
17,2016,WR,CHI,a,MIN,1.8,4600,Josh Bellamy
17,2016,WR,NYG,a,WAS,1.7,4500,Victor Cruz
17,2016,WR,MIN,h,CHI,1.6,4500,Charles Johnson
17,2016,WR,CHI,a,MIN,1.5,6900,Alshon Jeffery
17,2016,WR,TEN,h,HOU,1.5,4500,Marc Mariani
17,2016,WR,CAR,a,TB,1.5,4500,Brenton Bersin
17,2016,WR,ATL,h,NO,1.5,0,Nick Williams
17,2016,WR,TB,h,CAR,1.4,4500,Freddie Martino
17,2016,WR,DAL,a,PHI,1.3,4500,Lucky Whitehead
17,2016,WR,BUF,a,NYJ,1.3,4800,Marquise Goodwin
17,2016,WR,NO,a,ATL,1.3,4500,Brandon Coleman
17,2016,WR,MIN,h,CHI,1.2,6500,Adam Thielen
17,2016,WR,LA,h,ARI,1.1,4500,Paul McRoberts
17,2016,WR,BAL,a,CIN,1,0,Michael Campanaro
17,2016,WR,SF,h,SEA,1,4500,Rod Streater
17,2016,WR,LA,h,ARI,1,4900,Tavon Austin
17,2016,WR,DAL,a,PHI,0.8,4500,Brice Butler
17,2016,WR,ARI,a,LA,0.5,4500,Brittan Golden
17,2016,WR,MIA,h,NE,0.1,4500,Jakeem Grant
17,2016,WR,TEN,h,HOU,0,4900,Tajae Sharpe
17,2016,WR,CIN,h,BAL,0,4500,James Wright
17,2016,WR,CHI,a,MIN,0,4500,Deonte Thompson
17,2016,WR,CHI,a,MIN,0,4500,Bralon Addison
17,2016,WR,DEN,h,LV,0,4500,Bennie Fowler
17,2016,WR,BAL,a,CIN,0,4500,Chris Moore
17,2016,WR,DEN,h,LV,0,6500,Emmanuel Sanders
17,2016,WR,CIN,h,BAL,0,4500,Alex Erickson
17,2016,WR,NYG,a,WAS,0,4500,Roger Lewis
17,2016,WR,ATL,h,NO,0,4500,Eric Weems
17,2016,WR,KC,a,SDG,0,4500,De'Anthony Thomas
17,2016,WR,KC,a,SDG,0,4500,Demarcus Robinson
17,2016,WR,JAX,a,IND,0,4500,Arrelious Benn
17,2016,WR,WAS,h,NYG,0,4600,Ryan Grant
17,2016,WR,NYJ,h,BUF,0,4500,Devin Smith
17,2016,WR,CLE,a,PIT,0,4500,Rashard Higgins
17,2016,WR,BUF,a,NYJ,0,4500,Brandon Tate
17,2016,WR,GB,a,DET,0,4500,Jeff Janis
17,2016,WR,SDG,h,KC,0,4500,Isaiah Burse
17,2016,WR,TEN,h,HOU,0,4500,Harry Douglas
17,2016,WR,LV,a,DEN,0,4500,Andre Holmes
17,2016,WR,NO,a,ATL,0,4500,Tommylee Lewis
17,2016,WR,DAL,a,PHI,0,7500,Dez Bryant
17,2016,WR,DET,h,GB,0,4500,Andre Roberts
17,2016,WR,NE,a,MIA,0,4500,Matthew Slater
17,2016,WR,PHI,h,DAL,0,4500,Bryce Treggs
17,2016,WR,IND,h,JAX,0,4500,Devin Street
17,2016,WR,GB,a,DET,0,4500,Trevor Davis
17,2016,WR,NYG,a,WAS,0,4500,Dwayne Harris
17,2016,WR,PHI,h,DAL,-0.1,4700,Nelson Agholor
17,2016,WR,LV,a,DEN,-2,4500,Johnny Holton
17,2016,TE,PHI,h,DAL,32.4,5900,Zach Ertz
17,2016,TE,MIN,h,CHI,23.2,5900,Kyle Rudolph
17,2016,TE,BAL,a,CIN,14.6,4700,Dennis Pitta
17,2016,TE,SDG,h,KC,14,5800,Antonio Gates
17,2016,TE,CLE,a,PIT,12.5,4500,Gary Barnidge
17,2016,TE,SDG,h,KC,12.3,5300,Hunter Henry
17,2016,TE,IND,h,JAX,10.9,5100,Dwayne Allen
17,2016,TE,NE,a,MIA,10.8,5800,Martellus Bennett
17,2016,TE,WAS,h,NYG,10.5,7000,Jordan Reed
17,2016,TE,ARI,a,LA,10.2,4500,Darren Fells
17,2016,TE,SEA,a,SF,10.1,4500,Luke Willson
17,2016,TE,JAX,a,IND,10,4500,Ben Koyack
17,2016,TE,DEN,h,LV,9.2,4500,Virgil Green
17,2016,TE,DET,h,GB,9.1,5800,Eric Ebron
17,2016,TE,CIN,h,BAL,8.8,4500,CJ Uzomah
17,2016,TE,SEA,a,SF,8.4,6400,Jimmy Graham
17,2016,TE,HOU,a,TEN,8.2,4800,CJ Fiedorowicz
17,2016,TE,IND,h,JAX,8,4600,Jack Doyle
17,2016,TE,CLE,a,PIT,7.7,4500,Seth DeValve
17,2016,TE,GB,a,DET,7.6,4800,Jared Cook
17,2016,TE,SF,h,SEA,7.4,4700,Garrett Celek
17,2016,TE,NYG,a,WAS,6.7,4600,Will Tye
17,2016,TE,PHI,h,DAL,6.4,4500,Trey Burton
17,2016,TE,TEN,h,HOU,6,6200,Delanie Walker
17,2016,TE,WAS,h,NYG,5.9,4800,Vernon Davis
17,2016,TE,NO,a,ATL,5.3,4800,Coby Fleener
17,2016,TE,CAR,a,TB,3.7,6900,Greg Olsen
17,2016,TE,BUF,a,NYJ,3.5,5600,Charles Clay
17,2016,TE,DEN,h,LV,3.1,4500,Jeff Heuerman
17,2016,TE,CHI,a,MIN,2.8,4500,Daniel Brown
17,2016,TE,IND,h,JAX,2.7,4500,Erik Swoope
17,2016,TE,PIT,h,CLE,2.6,4500,Jesse James
17,2016,TE,SEA,a,SF,2.5,4500,Brandon Williams
17,2016,TE,ATL,h,NO,2.3,4700,Levine Toilolo
17,2016,TE,LV,a,DEN,2.2,4500,Clive Walford
17,2016,TE,LA,h,ARI,2.2,4600,Lance Kendricks
17,2016,TE,HOU,a,TEN,2,4500,Ryan Griffin
17,2016,TE,GB,a,DET,1.9,4600,Richard Rodgers
17,2016,TE,LV,a,DEN,1.9,4500,Mychal Rivera
17,2016,TE,DAL,a,PHI,1.5,4800,Jason Witten
17,2016,TE,PHI,h,DAL,1.4,4600,Brent Celek
17,2016,TE,KC,a,SDG,1.3,6800,Travis Kelce
17,2016,TE,DAL,a,PHI,1.2,4500,Gavin Escobar
17,2016,TE,NYJ,h,BUF,1.2,4500,Brandon Bostick
17,2016,TE,CHI,a,MIN,1.1,4500,MyCole Pruitt
17,2016,TE,NE,a,MIA,0.9,4500,Matt Lengel
17,2016,TE,TB,h,CAR,0.6,4500,Luke Stocker
17,2016,TE,CLE,a,PIT,0.4,4500,Danny Vitale
17,2016,TE,NYG,a,WAS,0,4500,Larry Donnell
17,2016,TE,LA,h,ARI,0,4500,Tyler Higbee
17,2016,TE,MIA,h,NE,0,5100,Dion Sims
17,2016,TE,CHI,a,MIN,0,4500,Logan Paulsen
17,2016,TE,SDG,h,KC,0,4500,Sean McGrath
17,2016,TE,CAR,a,TB,0,4500,Chris Manhertz
17,2016,TE,DET,h,GB,0,4500,Matthew Mulligan
17,2016,TE,MIN,h,CHI,0,4500,Rhett Ellison
17,2016,TE,KC,a,SDG,0,4500,James O'Shaughnessy
17,2016,TE,TEN,h,HOU,0,4500,Phillip Supernaw
17,2016,TE,BUF,a,NYJ,0,4500,Nick O'Leary
17,2016,TE,WAS,h,NYG,0,4500,Derek Carrier
17,2016,TE,NO,a,ATL,0,4500,John Phillips
17,2016,TE,KC,a,SDG,0,4500,Demetrius Harris
17,2016,TE,TB,h,CAR,0,4500,Brandon Myers
17,2016,TE,TEN,h,HOU,0,4500,Anthony Fasano
17,2016,TE,ARI,a,LA,0,4500,Jermaine Gresham
17,2016,TE,CAR,a,TB,0,4500,Ed Dickson
17,2016,TE,CLE,a,PIT,0,4500,Randall Telfer
17,2016,TE,BAL,a,CIN,0,4500,Darren Waller
17,2016,TE,TB,h,CAR,0,4500,Alan Cross
17,2016,TE,HOU,a,TEN,0,4500,Stephen Anderson
17,2016,TE,DEN,h,LV,0,4500,Henry Krieger-Coble
17,2016,TE,CHI,a,MIN,0,4500,Ben Braunecker
17,2016,TE,MIN,h,CHI,0,4500,David Morgan
17,2016,TE,MIA,h,NE,0,4500,Marqueis Gray
17,2016,TE,SF,h,SEA,0,4500,Jim Dray
17,2016,TE,PIT,h,CLE,0,4500,David Johnson
17,2016,TE,DET,h,GB,0,4500,Clay Harbor
17,2016,PK,ARI,a,LA,15,4500,Chandler Catanzaro
17,2016,PK,KC,a,SDG,13,4600,Cairo Santos
17,2016,PK,SEA,a,SF,13,4700,Steven Hauschka
17,2016,PK,NYJ,h,BUF,12,4500,Nick Folk
17,2016,PK,JAX,a,IND,10,4700,Jason Myers
17,2016,PK,NE,a,MIA,10,4700,Stephen Gostkowski
17,2016,PK,SDG,h,KC,9,4500,Josh Lambo
17,2016,PK,NO,a,ATL,9,4800,Wil Lutz
17,2016,PK,PHI,h,DAL,9,4500,Caleb Sturgis
17,2016,PK,CIN,h,BAL,9,4500,Randy Bullock
17,2016,PK,DAL,a,PHI,8,4800,Dan Bailey
17,2016,PK,MIN,h,CHI,8,4500,Kai Forbath
17,2016,PK,ATL,h,NO,8,5300,Matt Bryant
17,2016,PK,NYG,a,WAS,8,4500,Robbie Gould
17,2016,PK,DET,h,GB,8,5000,Matt Prater
17,2016,PK,IND,h,JAX,7,5200,Adam Vinatieri
17,2016,PK,GB,a,DET,7,4700,Mason Crosby
17,2016,PK,DEN,h,LV,6,4600,Brandon McManus
17,2016,PK,TEN,h,HOU,6,4500,Ryan Succop
17,2016,PK,CAR,a,TB,6,4800,Graham Gano
17,2016,PK,CLE,a,PIT,6,4500,Cody Parkey
17,2016,PK,LA,h,ARI,6,4500,Greg Zuerlein
17,2016,PK,HOU,a,TEN,5,4700,Nick Novak
17,2016,PK,TB,h,CAR,5,4500,Roberto Aguayo
17,2016,PK,CHI,a,MIN,4,4600,Connor Barth
17,2016,PK,BUF,a,NYJ,4,4700,Dan Carpenter
17,2016,PK,WAS,h,NYG,4,4800,Dustin Hopkins
17,2016,PK,BAL,a,CIN,4,5200,Justin Tucker
17,2016,PK,SF,h,SEA,3,4500,Phil Dawson
17,2016,PK,PIT,h,CLE,3,4700,Chris Boswell
17,2016,PK,MIA,h,NE,2,4600,Andrew Franks
17,2016,PK,LV,a,DEN,0,5000,Sebastian Janikowski
17,2016,Def,ARI,a,LA,26,4700,Cardinals DST
17,2016,Def,MIN,h,CHI,22,4600,Vikings DST
17,2016,Def,NYG,a,WAS,20,4500,Giants DST
17,2016,Def,NYJ,h,BUF,19,4100,Jets DST
17,2016,Def,TB,h,CAR,16,4500,Buccaneers DST
17,2016,Def,DEN,h,LV,15,4800,Broncos DST
17,2016,Def,PHI,h,DAL,13,4300,Eagles DST
17,2016,Def,CAR,a,TB,13,4200,Panthers DST
17,2016,Def,TEN,h,HOU,13,4600,Titans DST
17,2016,Def,PIT,h,CLE,12,5100,Steelers DST
17,2016,Def,CIN,h,BAL,11,4400,Bengals DST
17,2016,Def,JAX,a,IND,10,4100,Jaguars DST
17,2016,Def,KC,a,SDG,10,4900,Chiefs DST
17,2016,Def,SEA,a,SF,9,5200,Seahawks DST
17,2016,Def,SDG,h,KC,8,4200,NA
17,2016,Def,HOU,a,TEN,7,4600,Texans DST
17,2016,Def,IND,h,JAX,7,4200,Colts DST
17,2016,Def,CLE,a,PIT,6,4000,Browns DST
17,2016,Def,SF,h,SEA,6,4000,49ers DST
17,2016,Def,WAS,h,NYG,5,4600,Football Team
17,2016,Def,NE,a,MIA,5,4600,Patriots DST
17,2016,Def,GB,a,DET,4,4500,Packers DST
17,2016,Def,ATL,h,NO,3,4200,Falcons DST
17,2016,Def,LA,h,ARI,3,4400,Rams DST
17,2016,Def,LV,a,DEN,2,4400,NA
17,2016,Def,DAL,a,PHI,2,4500,Cowboys DST
17,2016,Def,BUF,a,NYJ,1,4800,Bills DST
17,2016,Def,CHI,a,MIN,1,4300,Bears DST
17,2016,Def,BAL,a,CIN,1,4500,Ravens DST
17,2016,Def,DET,h,GB,0,4200,Lions DST
17,2016,Def,NO,a,ATL,-3,4000,Saints DST
17,2016,Def,MIA,h,NE,-4,4300,Dolphins DST
17,2016,QB,GB,a,DET,34.2,8800,Aaron Rodgers
17,2016,QB,ATL,h,NO,29.44,8700,Matt Ryan
17,2016,QB,KC,a,SDG,25.66,6600,Alex Smith
17,2016,QB,NE,a,MIA,25.64,9100,Tom Brady
17,2016,QB,MIN,h,CHI,23.4,6700,Sam Bradford
17,2016,QB,PIT,h,CLE,22.08,6000,Landry Jones
17,2016,QB,ARI,a,LA,21.2,7400,Carson Palmer
17,2016,QB,NO,a,ATL,21,8200,Drew Brees
17,2016,QB,DET,h,GB,20.88,8000,Matthew Stafford
17,2016,QB,HOU,a,TEN,20.22,6000,Brock Osweiler
17,2016,QB,IND,h,JAX,19.54,8400,Andrew Luck
17,2016,QB,PHI,h,DAL,19.1,6900,Carson Wentz
17,2016,QB,CLE,a,PIT,17.48,6200,Robert Griffin
17,2016,QB,SDG,h,KC,16.86,7700,Philip Rivers
17,2016,QB,NYJ,h,BUF,16.4,6700,Ryan Fitzpatrick
17,2016,QB,MIA,h,NE,15.2,6900,Matt Moore
17,2016,QB,DEN,h,LV,14.74,6800,Trevor Siemian
17,2016,QB,SEA,a,SF,14.72,7600,Russell Wilson
17,2016,QB,JAX,a,IND,14.14,7600,Blake Bortles
17,2016,QB,WAS,h,NYG,13.48,7900,Kirk Cousins
17,2016,QB,CIN,h,BAL,13.44,7300,Andy Dalton
17,2016,QB,SF,h,SEA,12.2,7200,Colin Kaepernick
17,2016,QB,CAR,a,TB,11.08,7800,Cam Newton
17,2016,QB,TB,h,CAR,10.88,7800,Jameis Winston
17,2016,QB,BAL,a,CIN,9.68,7300,Joe Flacco
17,2016,QB,TEN,h,HOU,9.2,6100,Matt Cassel
17,2016,QB,CHI,a,MIN,7.7,6500,Matt Barkley
17,2016,QB,NYG,a,WAS,7.2,7500,Eli Manning
17,2016,QB,LV,a,DEN,7,5000,Connor Cook
17,2016,QB,DAL,a,PHI,5.16,6000,Tony Romo
17,2016,QB,LA,h,ARI,4.8,6400,Jared Goff
17,2016,QB,BUF,a,NYJ,2.74,6000,Cardale Jones
17,2016,QB,SEA,a,SF,2.38,6000,Trevone Boykin
17,2016,QB,DAL,a,PHI,2.38,7700,Dak Prescott
17,2016,QB,BUF,a,NYJ,2.24,5000,EJ Manuel
17,2016,QB,DAL,a,PHI,1.4,5000,Mark Sanchez
17,2016,QB,CHI,a,MIN,0.88,5000,David Fales
17,2016,QB,LV,a,DEN,0.84,6000,Matt McGloin
17,2016,QB,CAR,a,TB,0,5000,Joe Webb
17,2016,QB,KC,a,SDG,0,6000,Nick Foles
17,2016,QB,SDG,h,KC,0,5000,Kellen Clemens
17,2016,QB,NE,a,MIA,0,6000,Jimmy Garoppolo
17,2016,QB,MIN,h,CHI,-0.3,6000,Shaun Hill
17,2016,QB,LA,h,ARI,-0.34,5000,Sean Mannion
17,2016,QB,BAL,a,CIN,-0.52,6000,Ryan Mallett
17,2016,QB,ARI,a,LA,-0.68,6000,Drew Stanton
17,2016,QB,HOU,a,TEN,-0.9,6600,Tom Savage
17,2016,RB,CIN,h,BAL,27.4,4500,Rex Burkhead
17,2016,RB,ATL,h,NO,26.2,8000,Devonta Freeman
17,2016,RB,KC,a,SDG,26.1,4700,Charcandrick West
17,2016,RB,SF,h,SEA,24.9,4600,Shaun Draughn
17,2016,RB,MIN,h,CHI,24.5,5200,Jerick McKinnon
17,2016,RB,DEN,h,LV,23.9,5300,Devontae Booker
17,2016,RB,PIT,h,CLE,22.9,4500,DeAngelo Williams
17,2016,RB,NO,a,ATL,22.2,6100,Mark Ingram
17,2016,RB,NYJ,h,BUF,21.2,6600,Bilal Powell
17,2016,RB,JAX,a,IND,20.7,4500,Corey Grant
17,2016,RB,DET,h,GB,19,4500,Zach Zenner
17,2016,RB,CLE,a,PIT,16.3,6100,Isaiah Crowell
17,2016,RB,GB,a,DET,14.6,4500,Aaron Ripkowski
17,2016,RB,BAL,a,CIN,13.8,5200,Kenneth Dixon
17,2016,RB,CAR,a,TB,13.7,6200,Jonathan Stewart
17,2016,RB,CHI,a,MIN,13.5,7400,Jordan Howard
17,2016,RB,ATL,h,NO,13.4,6400,Tevin Coleman
17,2016,RB,TEN,h,HOU,13.3,5100,Derrick Henry
17,2016,RB,NYG,a,WAS,12.2,5600,Rashad Jennings
17,2016,RB,ARI,a,LA,12,4500,Kerwynn Williams
17,2016,RB,BUF,a,NYJ,11.5,5200,Mike Gillislee
17,2016,RB,NE,a,MIA,11.1,7600,LeGarrette Blount
17,2016,RB,SDG,h,KC,10.6,4500,Ronnie Hillman
17,2016,RB,IND,h,JAX,10.3,5100,Robert Turbin
17,2016,RB,NYG,a,WAS,10.2,4500,Paul Perkins
17,2016,RB,PHI,h,DAL,9.8,4500,Terrell Watson
17,2016,RB,LA,h,ARI,9.7,6400,Todd Gurley
17,2016,RB,MIA,h,NE,9.4,7300,Jay Ajayi
17,2016,RB,CLE,a,PIT,9.4,4500,George Atkinson
17,2016,RB,NO,a,ATL,9.3,4500,Travaris Cadet
17,2016,RB,DEN,h,LV,9,5300,Justin Forsett
17,2016,RB,NO,a,ATL,8.9,5400,Tim Hightower
17,2016,RB,SDG,h,KC,8.7,4500,Andre Williams
17,2016,RB,IND,h,JAX,8.6,6200,Frank Gore
17,2016,RB,TB,h,CAR,8.4,5200,Jacquizz Rodgers
17,2016,RB,GB,a,DET,7.6,6700,Ty Montgomery
17,2016,RB,SEA,a,SF,7.4,7400,Thomas Rawls
17,2016,RB,WAS,h,NYG,7.2,5400,Chris Thompson
17,2016,RB,HOU,a,TEN,6.9,4500,Jonathan Grimes
17,2016,RB,LV,a,DEN,6.7,4500,DeAndre Washington
17,2016,RB,SEA,a,SF,6.4,5800,Alex Collins
17,2016,RB,CHI,a,MIN,6.2,4800,Jeremy Langford
17,2016,RB,NE,a,MIA,6.2,5200,Dion Lewis
17,2016,RB,MIN,h,CHI,6,5000,Matt Asiata
17,2016,RB,ARI,a,LA,5.9,9300,David Johnson
17,2016,RB,DAL,a,PHI,5.7,4500,Darren McFadden
17,2016,RB,BAL,a,CIN,5.5,5600,Terrance West
17,2016,RB,HOU,a,TEN,5.5,5600,Alfred Blue
17,2016,RB,DAL,a,PHI,5.4,4500,Lance Dunbar
17,2016,RB,PHI,h,DAL,5.1,4500,Byron Marshall
17,2016,RB,PHI,h,DAL,5.1,5500,Darren Sproles
17,2016,RB,NE,a,MIA,5,4500,James White
17,2016,RB,PIT,h,CLE,4.8,4500,Fitzgerald Toussaint
17,2016,RB,NYJ,h,BUF,3.9,4500,Brandon Wilds
17,2016,RB,ARI,a,LA,3.6,4500,Andre Ellington
17,2016,RB,SEA,a,SF,3.5,4500,Marcel Reece
17,2016,RB,WAS,h,NYG,3.3,5900,Rob Kelley
17,2016,RB,LV,a,DEN,3,6900,Latavius Murray
17,2016,RB,TEN,h,HOU,2.4,7800,DeMarco Murray
17,2016,RB,CAR,a,TB,2.4,4500,Mike Tolbert
17,2016,RB,MIA,h,NE,2.3,5200,Damien Williams
17,2016,RB,GB,a,DET,2.1,4900,Christine Michael
17,2016,RB,BUF,a,NYJ,2.1,9100,LeSean McCoy
17,2016,RB,DAL,a,PHI,2,4500,Alfred Morris
17,2016,RB,TB,h,CAR,1.9,4500,Peyton Barber
17,2016,RB,JAX,a,IND,1.7,4500,Denard Robinson
17,2016,RB,PIT,h,CLE,1.5,4500,Roosevelt Nix
17,2016,RB,CIN,h,BAL,1.5,4500,Cedric Peerman
17,2016,RB,LV,a,DEN,1.5,4500,Jamize Olawale
17,2016,RB,LA,h,ARI,1.1,4500,Malcolm Brown
17,2016,RB,JAX,a,IND,1.1,4500,Bronson Hill
17,2016,RB,BAL,a,CIN,1.1,4500,Kyle Juszczyk
17,2016,RB,MIA,h,NE,1,5100,Kenyan Drake
17,2016,RB,LA,h,ARI,0.9,4500,Chase Reynolds
17,2016,RB,CAR,a,TB,0.9,4500,Fozzy Whittaker
17,2016,RB,KC,a,SDG,0.9,4500,Knile Davis
17,2016,RB,NYG,a,WAS,0.8,4500,Bobby Rainey
17,2016,RB,KC,a,SDG,0.7,4500,Anthony Sherman
17,2016,RB,JAX,a,IND,0.7,17,Joe Banyard
17,2016,RB,SF,h,SEA,0.6,4500,Raheem Mostert
17,2016,RB,CLE,a,PIT,0.4,4800,Duke Johnson
17,2016,RB,LV,a,DEN,0.3,5400,Jalen Richard
17,2016,RB,DEN,h,LV,0.1,4500,Juwan Thompson
17,2016,RB,NE,a,MIA,0,4500,James Develin
17,2016,RB,DET,h,GB,0,5100,Dwayne Washington
17,2016,RB,NO,a,ATL,0,4500,John Kuhn
17,2016,RB,IND,h,JAX,0,4500,Josh Ferguson
17,2016,RB,MIN,h,CHI,0,4500,Zach Line
17,2016,RB,IND,h,JAX,0,4500,Jordan Todman
17,2016,RB,BUF,a,NYJ,0,4500,Reggie Bush
17,2016,RB,DET,h,GB,0,4600,Joique Bell
17,2016,RB,ARI,a,LA,0,4500,Stepfan Taylor
17,2016,RB,TEN,h,HOU,0,4500,Antonio Andrews
17,2016,RB,NE,a,MIA,0,4500,Brandon Bolden
17,2016,RB,SDG,h,KC,0,4500,Derek Watt
17,2016,RB,DAL,a,PHI,0,4500,Keith Smith
17,2016,RB,BUF,a,NYJ,0,4500,Jerome Felton
17,2016,RB,CIN,h,BAL,0,4500,Ryan Hewitt
17,2016,RB,HOU,a,TEN,0,4500,Akeem Hunt
17,2016,RB,HOU,a,TEN,0,4500,Tyler Ervin
17,2016,RB,WAS,h,NYG,0,4500,Mack Brown
17,2016,RB,LV,a,DEN,0,4500,Taiwan Jones
17,2016,RB,ATL,h,NO,0,4500,Patrick DiMarco
17,2016,RB,TEN,h,HOU,0,4500,Jalston Fowler
17,2016,RB,NYJ,h,BUF,-0.4,17,Brandon Burks
17,2016,RB,BUF,a,NYJ,-0.9,4500,Jonathan Williams
17,2016,RB,SF,h,SEA,-2.1,4500,DuJuan Harris
17,2016,WR,NE,a,MIA,27.7,6800,Julian Edelman
17,2016,WR,NO,a,ATL,26.6,6700,Michael Thomas
17,2016,WR,TEN,h,HOU,21.9,5800,Rishard Matthews
17,2016,WR,GB,a,DET,20.1,6800,Davante Adams
17,2016,WR,ATL,h,NO,19.1,8300,Julio Jones
17,2016,WR,CAR,a,TB,18.3,6800,Kelvin Benjamin
17,2016,WR,MIA,h,NE,18.1,6300,Jarvis Landry
17,2016,WR,DET,h,GB,17.4,5700,Golden Tate
17,2016,WR,GB,a,DET,17.1,4800,Geronimo Allison
17,2016,WR,HOU,a,TEN,15.8,7200,DeAndre Hopkins
17,2016,WR,TB,h,CAR,15,8400,Mike Evans
17,2016,WR,KC,a,SDG,14.6,6500,Tyreek Hill
17,2016,WR,TB,h,CAR,14.4,4500,Adam Humphries
17,2016,WR,DET,h,GB,13.7,4900,Anquan Boldin
17,2016,WR,CLE,a,PIT,12.9,5900,Terrelle Pryor
17,2016,WR,PIT,h,CLE,12.9,4500,Cobi Hamilton
17,2016,WR,JAX,a,IND,12.8,4500,Bryan Walters
17,2016,WR,ARI,a,LA,12.8,6600,Larry Fitzgerald
17,2016,WR,IND,h,JAX,12.5,7800,TY Hilton
17,2016,WR,ATL,h,NO,12.3,4700,Justin Hardy
17,2016,WR,CHI,a,MIN,12.18,5800,Cameron Meredith
17,2016,WR,MIA,h,NE,12.1,4900,Kenny Stills
17,2016,WR,LV,a,DEN,11.9,6400,Amari Cooper
17,2016,WR,ARI,a,LA,11.7,4500,Jeremy Ross
17,2016,WR,PIT,h,CLE,11.7,17,Demarcus Ayers
17,2016,WR,JAX,a,IND,11.6,6300,Marqise Lee
17,2016,WR,WAS,h,NYG,11.6,5600,Pierre Garcon
17,2016,WR,CAR,a,TB,11.3,4900,Ted Ginn
17,2016,WR,ATL,h,NO,11.2,5100,Mohamed Sanu
17,2016,WR,NE,a,MIA,11.1,4600,Michael Floyd
17,2016,WR,MIN,h,CHI,10.9,4500,Jarius Wright
17,2016,WR,DAL,a,PHI,10.8,4700,Terrance Williams
17,2016,WR,JAX,a,IND,10.7,6100,Allen Robinson
17,2016,WR,NYJ,h,BUF,10.6,4500,Quincy Enunwa
17,2016,WR,CIN,h,BAL,10.2,5800,Brandon LaFell
17,2016,WR,CIN,h,BAL,10.2,4500,Cody Core
17,2016,WR,DET,h,GB,10.1,5600,Marvin Jones
17,2016,WR,SDG,h,KC,10,6400,Tyrell Williams
17,2016,WR,NO,a,ATL,9.7,5800,Willie Snead
17,2016,WR,NYJ,h,BUF,9.7,4500,Jalin Marshall
17,2016,WR,GB,a,DET,9.6,8200,Jordy Nelson
17,2016,WR,ARI,a,LA,9.5,5300,JJ Nelson
17,2016,WR,IND,h,JAX,9.2,4500,Chester Rogers
17,2016,WR,PIT,h,CLE,9.1,4700,Eli Rogers
17,2016,WR,SF,h,SEA,9.1,4700,Jeremy Kerley
17,2016,WR,BAL,a,CIN,8.2,4700,Breshad Perriman
17,2016,WR,IND,h,JAX,7.6,4500,Phillip Dorsett
17,2016,WR,KC,a,SDG,7.5,4500,Chris Conley
17,2016,WR,CLE,a,PIT,7.4,4800,Corey Coleman
17,2016,WR,KC,a,SDG,7.3,5300,Jeremy Maclin
17,2016,WR,LV,a,DEN,7.2,6100,Michael Crabtree
17,2016,WR,SDG,h,KC,7.1,5700,Dontrelle Inman
17,2016,WR,MIA,h,NE,7,6300,DeVante Parker
17,2016,WR,BUF,a,NYJ,6.9,4700,Justin Hunter
17,2016,WR,NYG,a,WAS,6.9,8800,Odell Beckham
17,2016,WR,DEN,h,LV,6.7,6600,Demaryius Thomas
17,2016,WR,SEA,a,SF,6.5,4500,Paul Richardson
17,2016,WR,CIN,h,BAL,6.4,5100,Tyler Boyd
17,2016,WR,DAL,a,PHI,6.4,6000,Cole Beasley
17,2016,WR,NYJ,h,BUF,6.3,5200,Robby Anderson
17,2016,WR,BUF,a,NYJ,6.3,5200,Robert Woods
17,2016,WR,DEN,h,LV,5.6,4500,Jordan Taylor
17,2016,WR,SEA,a,SF,5.5,4500,Jermaine Kearse
17,2016,WR,SEA,a,SF,5.4,7100,Doug Baldwin
17,2016,WR,BAL,a,CIN,5.3,5500,Mike Wallace
17,2016,WR,NYG,a,WAS,5.2,5200,Sterling Shepard
17,2016,WR,BUF,a,NYJ,5.1,6100,Sammy Watkins
17,2016,WR,PIT,h,CLE,5.1,4500,Darrius Heyward-Bey
17,2016,WR,HOU,a,TEN,5.1,17,Wendall Williams
17,2016,WR,BAL,a,CIN,4.9,5800,Steve Smith
17,2016,WR,NYG,a,WAS,4.9,4500,Tavarres King
17,2016,WR,NE,a,MIA,4.7,5100,Chris Hogan
17,2016,WR,KC,a,SDG,4.7,4500,Albert Wilson
17,2016,WR,LA,h,ARI,4.6,4500,Pharoh Cooper
17,2016,WR,ATL,h,NO,4.6,4500,Aldrick Robinson
17,2016,WR,WAS,h,NYG,4.4,7000,DeSean Jackson
17,2016,WR,MIN,h,CHI,4.4,4600,Cordarrelle Patterson
17,2016,WR,DEN,h,LV,4.3,4500,Cody Latimer
17,2016,WR,LV,a,DEN,4.1,4500,Seth Roberts
17,2016,WR,PHI,h,DAL,4,4500,Paul Turner
17,2016,WR,SF,h,SEA,4,4500,Chris Harper
17,2016,WR,DET,h,GB,4,4500,TJ Jones
17,2016,WR,HOU,a,TEN,3.9,5100,Will Fuller
17,2016,WR,TB,h,CAR,3.9,4500,Russell Shepard
